folio	f	p	v	r	h	plant	daiin	n	the	c
f102r2_eva.txt	10	13	0	57	152	0	10	33	5	118
f116v_eva.txt	0	1	1	2	1	0	0	0	0	0
f17r_eva.txt	17	121	0	115	546	97	57	218	4	472
f1r_eva.txt	27	61	1	229	636	0	52	261	10	426
f1r_long_eva.txt	27	61	1	229	636	0	52	261	10	426
f49v_eva.txt	17	121	0	115	546	97	57	218	4	472
f67r1_eva.txt	0	15	0	131	119	0	16	59	6	94
f70v_eva.txt	63	21	73	200	195	0	17	70	3	135
f76r_eva.txt	10	92	0	325	1087	0	19	353	6	695
f78r_eva.txt	8	64	0	214	755	0	17	195	4	408
f79r_eva.txt	8	64	0	214	755	0	17	195	4	408
f80r_eva.txt	125	54	0	391	772	0	10	345	3	510
f81r_eva.txt	3	54	0	108	350	0	9	76	0	229
f82r_eva.txt	73	25	26	278	547	0	32	163	11	393
f82v_eva.txt	51	27	0	232	535	0	8	191	9	349
f83r_eva.txt	72	58	0	220	773	0	37	177	13	536
f83v_eva.txt	4	25	0	105	524	0	14	128	12	332
f84r_eva.txt	43	47	0	321	609	0	28	118	4	386
f88r_eva.txt	24	44	0	154	209	24	7	53	3	168
f8r_eva.txt	13	77	0	72	318	53	27	128	2	245
f99r_eva.txt	4	42	0	114	180	22	20	66	12	139
full_eva.txt	36124	30325	14557	55587	73469	5067	4741	43819	4429	54743
full_rosettes_eva.txt	101	291	1	1121	1565	0	168	804	12	1085
rosettes_eva.txt	101	291	1	1121	1565	0	168	804	12	1085
sample_eva.txt	0	1	1	0	0	0	0	0	0	0
