file,total,chedy,shey,shedy,qokedy,qokeedy,otain,ykedy,daiin,chor,shol,dol,rol
f102r2_eva.txt,47,0,10,0,0,0,0,0,10,0,0,21,6
f116v_eva.txt,0,0,0,0,0,0,0,0,0,0,0,0,0
f17r_eva.txt,128,0,0,0,0,0,0,0,57,44,17,10,0
f1r_eva.txt,123,0,27,0,0,0,0,0,52,15,25,0,4
f1r_long_eva.txt,123,0,27,0,0,0,0,0,52,15,25,0,4
f49v_eva.txt,128,0,0,0,0,0,0,0,57,44,17,10,0
f67r1_eva.txt,29,2,9,0,0,0,0,0,16,0,0,2,0
f70v_eva.txt,41,3,8,0,0,0,0,0,17,2,2,6,3
f76r_eva.txt,490,163,56,139,28,24,14,0,19,4,8,7,28
f78r_eva.txt,298,62,67,78,4,4,19,0,17,4,12,8,23
f79r_eva.txt,298,62,67,78,4,4,19,0,17,4,12,8,23
f80r_eva.txt,296,57,39,66,12,32,20,0,10,5,0,8,47
f81r_eva.txt,207,80,8,41,20,7,6,0,9,0,4,4,28
f82r_eva.txt,311,88,12,53,20,58,6,0,32,4,4,15,19
f82v_eva.txt,327,87,30,74,28,20,9,0,8,0,17,14,40
f83r_eva.txt,410,169,16,80,53,26,1,0,37,4,4,7,13
f83v_eva.txt,251,63,20,67,13,32,6,0,14,2,7,15,12
f84r_eva.txt,414,74,20,115,50,40,0,4,28,4,8,13,58
f88r_eva.txt,40,0,0,0,0,0,0,0,7,17,3,7,6
f8r_eva.txt,73,0,6,0,0,0,0,0,27,15,19,6,0
f99r_eva.txt,44,0,3,0,0,0,0,0,20,10,5,1,5
full_eva.txt,18558,4097,1452,2267,987,1051,106,90,4741,1741,931,712,383
full_rosettes_eva.txt,600,151,57,58,11,10,16,4,168,26,15,12,72
rosettes_eva.txt,600,151,57,58,11,10,16,4,168,26,15,12,72
sample_eva.txt,5,0,0,0,5,0,0,0,0,0,0,0,0
